Week,Day,Date,,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,spread
1,Thu,September 10,box,W,PIT,,TEN,13,10,357,3,320,2,
1,Sun,September 13,box,W,ATL,,MIA,19,7,281,0,259,4,
1,Sun,September 13,box,W,SEA,,STL,28,0,446,3,247,1,
1,Sun,September 13,box,W,NYG,,WAS,23,17,351,2,272,2,
1,Sun,September 13,box,W,BAL,,KC,38,24,501,1,188,0,
1,Sun,September 13,box,W,NYJ,@,HOU,24,7,462,1,183,2,
1,Sun,September 13,box,W,NO,,DET,45,27,515,3,231,3,
1,Sun,September 13,box,W,DAL,@,TB,34,21,462,0,450,0,
1,Sun,September 13,box,W,SF,@,ARI,20,16,203,1,299,2,
1,Sun,September 13,box,W,PHI,@,CAR,38,10,267,2,169,7,
1,Sun,September 13,box,W,GB,,CHI,21,15,226,0,352,4,
1,Sun,September 13,box,W,DEN,@,CIN,12,7,302,0,307,2,
1,Sun,September 13,box,W,MIN,@,CLE,34,20,310,0,268,2,
1,Sun,September 13,box,W,IND,,JAX,14,12,365,2,228,0,
1,Mon,September 14,box,W,SD,@,OAK,24,20,317,2,366,3,
1,Mon,September 14,box,W,NE,,BUF,25,24,441,1,276,1,
2,Sun,September 20,box,W,HOU,@,TEN,34,31,420,0,449,2,6.5
2,Sun,September 20,box,W,OAK,@,KC,13,10,166,0,409,2,3
2,Sun,September 20,box,W,NO,@,PHI,48,22,421,1,463,4,0
2,Sun,September 20,box,W,NYJ,,NE,16,9,254,1,299,1,3.5
2,Sun,September 20,box,W,WAS,,STL,9,7,362,1,245,1,-9.5
2,Sun,September 20,box,W,BAL,@,SD,31,26,311,1,474,2,3
2,Sun,September 20,box,W,SF,,SEA,23,10,379,0,283,1,-1.5
2,Sun,September 20,box,W,MIN,@,DET,27,13,265,1,265,3,-10
2,Sun,September 20,box,W,NYG,@,DAL,33,31,427,0,378,4,3
2,Sun,September 20,box,W,ATL,,CAR,28,20,371,2,440,2,-6
2,Sun,September 20,box,W,BUF,,TB,33,20,438,2,353,2,-5
2,Sun,September 20,box,W,CHI,,PIT,17,14,275,0,308,2,3
2,Sun,September 20,box,W,CIN,@,GB,31,24,319,2,311,1,9.5
2,Sun,September 20,box,W,DEN,,CLE,27,6,449,1,200,3,-3
2,Sun,September 20,box,W,ARI,@,JAX,31,17,383,2,367,3,3
2,Mon,September 21,box,W,IND,@,MIA,27,23,356,0,403,1,-3
