Team,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
BUF,-5,5.5,1,-5.5,9.5,7,3.5,,7.5,8.5,3.5,3,-2.5,7,9,
MIA,3,6,-1,3,,6.5,3.5,10.5,-10,-3.5,-3.5,5.5,2.0,5,-2,
NYJ,3.5,-2.5,7.5,-3,-9.5,-6,-3.5,,-6.5,11.0,-3.5,-3,-3.5,-5.5,4,
NE,-3.5,-4,-2,-3,-9.5,-14.5,,-10.5,2,-11.0,2,-5.5,-12.5,-7,-10,
PIT,-3,-4,-5.5,-11,-14,-4,,-3,-7,-11.5,7.5,-15,-9.5,-3,-3,
BAL,3,-13.5,2,-9,3,,-4.5,-3,-11,1.5,-7.5,3.5,-14.0,-11,3,
CLE,3,13.5,6.5,5.5,14,7.5,12,,11,3.0,12.5,13.5,9.5,2.5,-3,
CIN,9.5,4,-6.5,9,-4,-1.5,,3,7,-8.5,-12.5,-13.5,6.0,7,-14,
IND,-3,2.5,-10,-4,,-13.5,-13,-9,-2,-1.5,-3,-6.5,-6.5,-3,-4,
TEN,-6.5,2.5,-3,4,9.5,,-3,4,-7.5,3.5,-3.5,6.5,-14.0,-5,,
HOU,6.5,-4,-8.5,6,4,-3,-3.5,9,,-3.5,3,-1.5,-7.0,-14,2,
JAX,-3,4,3,1.5,-9.5,,3,-6.5,6.5,-8.5,3,1.5,-2.0,3,10,
SD,-3,-6,5.5,,-3.5,-5,-16,5,-1,-6.0,-13.5,-13.5,3.5,-7,,
DEN,-3,-1.5,2.5,3,3.5,,4.5,3,-3.5,6.0,4.5,-6.5,6.5,-14,7,
OAK,3,1.5,8.5,15.5,14.5,6,16,,-2.5,8.5,13.5,15,2.0,14,3,
KC,-3,9.5,9,7,6,5,,6.5,2.5,11.5,13.5,6.5,2.5,-2.5,14
NYG,3,-7,-9,-15.5,3,-7,-2.5,-5,,-7.0,-4.5,1.5,1.0,-3,-8
DAL,-3,-8.5,-2.5,-7,,-4,-10,3,-3,-10.5,-13.5,-1.5,-3.5,7.5,-7
WAS,-9.5,-6.5,-9,5,-6,7,,10,3.5,10.5,10,9,-2.0,3,7
PHI,0,-9.5,,-15.5,-14.5,-7,2.5,-3,1,-3.5,-10,-5,-1.0,-7.5,-7
GB,-9.5,-6.5,4.5,,-14,-7.5,-3.5,-9.5,3,-6.0,-11.5,-3.5,-4.0,3,-14
CHI,3,-2.5,-10,,4,1.5,-12,-3,0,3.5,10.5,-9,4.0,11,7
MIN,-10,-7,-4.5,-10.5,-3,4,3.5,,-17,-10.5,-10.5,-3.5,-6.0,-8.5,-7
DET,10,6.5,10,11,14,,-3,10,17,-3.0,11.5,13.5,14.0,14,14
TB,5,7,9,15.5,3,14.5,,9.5,10,10.5,12.5,3.5,3.5,6.5,14
ATL,-6,4,,1,-4,4,11,-10,-1.5,7.0,-12.5,5,10.0,5.5,-9
NO,0,-5.5,-7.5,,-3,-6.5,-11,-13,-14,-10.5,-2,-9,-10.0,-7.5,-14
CAR,6,8.5,,-5,-3,-7,10,13,1.5,3.5,3.5,-3.5,12.5,8.5,8
ARI,3,-2.5,,-6,3,7,-10,3,-8.5,-9.0,3.5,3.5,-4.0,-14,-15
SF,-1.5,7,-9.5,-1,,3,13,-4,0,6.0,-3,-1,4.0,7.5,-14
SEA,1.5,2.5,10,-1.5,-3,,10,-10,8.5,10.5,-3.5,1,7.0,-6.5,14
STL,9.5,6.5,9.5,10.5,9.5,13.5,3,,14,9.0,3.5,9,14.0,14,15
