HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEPFZH,LINEBIHL,LINEBURD,VSCORE,HSCORE,WEEK
Atlanta,San Francisco,6.5,2.26,4.77,-4.2,-31,9.5,8.04,6,7.3,17,4.9,3,8.3,,-6.37,,7.98,5.27,,8,,5,,,,28,36,1
Buffalo,Tennessee,1,4.21,5.97,4.22,17,12.13,0.34,6,2.5,-2.6,3.36,3,1.5,,2.05,,6.5,3.78,,0,,4,,,,13,16,1
Cleveland,Jacksonville,-10.5,-15.66,-17.07,7.87,-25.2,17,-6.91,6,-19.8,-18.7,-6.43,3,-11.4,,1.41,,-14.87,-5.81,,-11,,-5,,,,27,7,1
Dallas,Philadelphia,6,9.42,10,-1.15,11,-1,5.45,6,6.6,6.7,6.43,3,0.8,,-0.27,,8.69,4.67,,9,,5,,,,41,14,1
Green Bay,N.Y. Jets,2.5,3.76,0.02,13.19,-19,13,3.89,6,-0.3,10.4,1.88,3,-3.7,,12.34,,1.25,4.98,,3,,2,,,,20,16,1
Kansas City,Indianapolis,-3.5,5.41,6.45,-2.62,-15,-7.25,-1.44,6,1.4,-13.7,3.9,3,2.6,,-5.24,,6.76,0.4,,-5,,-1,,,,27,14,1
Miami,Seattle,2,4.57,7.3,10.43,-7,12.25,5.14,6,3.3,8,2.97,3,-0.8,,10.04,,-0.37,5.52,,-1,,4,,,,0,23,1
Minnesota,Chicago,4.5,12.03,9.6,2.36,-11.2,2.32,3.84,6,10,6.4,8.32,3,10.6,,3.41,,13.3,7.01,,6,,6,,,,27,30,1
N.Y. Giants,Arizona,6.5,6.87,12.54,-2.66,17.2,5.5,3.24,6,5.2,1.6,5.74,3,12.8,,-4.56,,10.37,5.05,,4,,5,,,,16,21,1
New England,Tampa Bay,-3,3.11,-1.64,-6.42,-10,-6.75,0.67,6,-0.4,-12.1,1.35,3,2.6,,-8.4,,1.03,-1.38,,-5,,2,,,,21,16,1
New Orleans,Detroit,0,-4.32,-0.26,-2.55,-36,-10.5,-3.27,6,-5.9,-11.9,-1.51,3,-4.7,,-2.95,,-8.78,-3.66,,-4,,-2,,,,14,10,1
Oakland,San Diego,6.5,6.6,11.82,2.19,12,22,8.52,6,5,5.6,4.98,3,4,,0.82,,9.44,6.92,,12,,6,,,,6,9,1
Pittsburgh,Baltimore,-2.5,2.98,3.73,2.78,-11,-1.75,2,6,-4.5,-10.3,1.72,3,0.7,,4.35,,-2.76,0.61,,-5,,2,,,,16,0,1
St. Louis,Denver,6.5,0.38,6.42,-6.46,-36.2,5.25,4.08,6,5.3,4.6,5.68,3,15.5,,-9.83,,8.02,3.69,,6,,5,,,,36,41,1
Washington,Carolina,10.5,5.45,8.01,22.62,41.8,16.25,7.51,6,10.4,19.9,5.9,3,8.9,,28.84,,7.5,11.56,,12,,7,,,,17,20,1
Arizona,Dallas,2.5,3.68,8.23,12.49,6,12.26,4.67,5,2.5,15.53,4.33,11.8,-4.4,9.5,12.43,13.58,1.23,7.31,,0,,1,,,,31,32,2
Baltimore,Jacksonville,3,0.09,0.36,17.41,21.01,14.59,-3.46,0.1,-3.3,1.81,1.28,1.4,-2.5,0,20.02,5.73,0.54,3.86,,0,,0,,,,36,39,2
Buffalo,Green Bay,5.5,6.46,3.73,21.76,-11.72,15.37,8.05,7.03,8.2,12.34,7.03,5.8,13.3,7.5,22,11.59,6.37,10.64,,6,,7,,,,18,27,2
Cincinnati,Cleveland,6,8.93,3.08,12.83,22.92,-0.52,2.53,5.67,7.1,5.66,6.17,11,3.3,,14.9,4.03,5.68,6.45,,4,,5,,,,24,7,2
Denver,Atlanta,4,7.46,6.86,0.82,23.72,6.59,4.63,1.57,9.3,8.6,8.16,-2.2,7.8,-3.7,0.54,-4.13,10.45,4.75,,10,,6,,,,14,42,2
Detroit,Washington,-6,2.28,-1.56,10.51,3.99,2.92,0.93,-0.6,-2.2,0.9,4.28,3.4,-6.9,4.7,4.49,6.46,2.49,1.89,,-5,,3,,,,10,15,2
Indianapolis,Oakland,6.5,8.32,5.95,1,8.87,0.92,6.84,7.8,3.8,7,6.65,7,0.9,2.2,1.15,7.02,3.27,4.83,,7,,4,,,,38,31,2
Minnesota,Miami,3,-0.15,6.02,6.89,-4.13,3.92,-3.95,12.7,4.3,-2.34,1.81,-5,4.1,-12.7,7.31,-14.34,3,1.73,,9,,2,,,,7,13,2
N.Y. Jets,New England,6.5,8.68,12.41,12.44,-8.01,15.26,7.04,12.63,8.1,5.08,7.46,6.6,2.7,7.5,9.55,12.78,4.68,8.96,,7,,4,,,,19,20,2
Philadelphia,N.Y. Giants,3,7.3,1.34,17.01,19,11.03,7.19,2.2,-0.9,13.47,6.89,11.8,12.6,8.6,15.29,13.58,9.74,9.18,,3,,2,,,,33,18,2
San Diego,New Orleans,6,9.06,2.6,18.14,12.04,13.92,5.07,5,15.5,17.79,7.77,3.4,19.1,3.4,17.6,2.07,7.63,10.33,,7,,7,,,,28,27,2
San Francisco,Carolina,-3.5,1.81,-1.03,6.91,-4.39,-1.41,-2.38,5,0.1,-1.74,-0.04,1,-5.6,-1.4,4.46,1.58,-4.01,0.33,,-3,,1,,,,38,22,2
Seattle,St. Louis,-7.5,-5.1,-18.79,-9.03,-5,-12.74,-6.38,-3.33,-2,-10.25,-2.97,-8.2,-19.2,-12.4,-8.76,-18.94,-5.67,-9.38,,-7,,1,,,,37,34,2
Tampa Bay,Chicago,7,9.86,0.09,4.18,14.01,4.48,10.32,11.23,12.7,15,8.01,6.2,11.1,8.5,4.8,10.53,7.36,8.28,,8,,5,,,,0,41,2
Tennessee,Kansas City,8.5,7.07,8.78,36.97,37.44,31.03,8.5,5,6.4,19.96,6.85,7,11.7,11.2,36.81,10.55,5.85,14.46,,12,,1,,,,14,17,2
Carolina,Atlanta,6,7.45,13.21,7.07,-31.73,9.5,6.08,5,2.4,7.43,8.88,12.76,10.4,11.8,7.86,14.79,10.88,8.58,6.5,7,,5,,,,15,10,3
Chicago,N.Y. Giants,2.5,-5.09,-16.14,-13.98,-23,-12,-5.3,-8.9,-1.4,-1.96,-1.3,-17.34,-6.4,-12.5,-11.84,-19.91,-6.09,-7.71,-0.66,5,,-1,,,,14,7,3
Cleveland,Pittsburgh,-2.5,0.23,9.6,-2.72,-34.32,7,4.2,8.48,-5.7,4.18,3.64,8.9,5,4.8,-7.71,21.07,0.41,3.52,-2.34,2,,0,,,,20,23,3
Detroit,Tampa Bay,-3,-3.64,-0.11,-16.22,-7.46,-14,0.9,13.37,-2.2,-5.88,-0.86,-6.02,-9.5,-2.9,-14.67,-6.95,-4.93,-5.12,-4.17,-6,,1,,,,31,10,3
Green Bay,Philadelphia,4,4.64,-7.56,-3.26,4.82,6.5,4.61,3.29,9,4.71,3.09,-4.12,6.2,-3,-4.25,-7.28,6.47,2.01,0.13,10,,3,,,,3,6,3
Jacksonville,Cincinnati,13,26.55,20.26,10.44,7.85,14.5,19.5,10.52,25,20.17,18.74,17.12,21.4,19.2,10.36,25.78,18.76,18.3,14.69,19,,10,,,,0,13,3
Kansas City,San Diego,5,4.5,2.81,-8.43,-4.32,-8,2.3,4.67,4,0.32,3.63,-0.28,4.6,-0.5,-10.52,-2.83,4.58,0.57,0.73,7,,5,,,,10,42,3
Miami,Baltimore,-2,2.5,-6.31,-5.41,16.06,-6.5,0.36,-5.45,4.5,1.13,2.31,0.22,2.4,6.6,-4.47,8.82,3.63,-0.26,1.16,-2,,3,,,,6,19,3
N.Y. Jets,Buffalo,1.5,2.42,1.18,2.73,14,6.5,0.09,1.87,2.2,0.01,2.55,0.76,-0.8,1.6,2.34,-0.35,1.15,0.79,-9.97,1,,1,,,,14,27,3
New England,Minnesota,1.5,-0.86,4.84,3.56,13,10.5,0.62,-5.41,-1.1,2.33,1.5,-3.61,1.6,-1,2.9,-4.36,0.74,0.73,-1.58,0,,-1,,,,21,13,3
Oakland,Denver,3,1.42,-0.69,7.14,-3,12.63,3.39,9.16,4.3,1.72,2.04,-0.46,3.6,0,5.98,1.27,2.14,3.65,4.8,1,,5,,,,33,24,3
Seattle,New Orleans,6,4.03,-17.61,-12.93,-0.94,-11.5,3.47,2.25,15.5,2.86,5.08,-2.56,2.2,-3,-12.74,-5.35,3.54,-1.41,-6.82,8,,6,,,,10,20,3
St. Louis,San Francisco,16.5,19.19,13.99,9.66,33,7.5,17.44,16.43,17.6,14.98,15.59,9.94,22,11.5,9.56,12.69,20.3,15.33,20.42,19,,12,,,,24,41,3
Washington,Dallas,10.5,12.28,24.37,14.79,-4.68,19,11.3,10.87,8.6,18.76,8.63,11.28,11,7,19.04,10.8,8.81,13.23,12.15,11,,6,,,,27,21,3
Arizona,Green Bay,1,-5.62,7.26,-12.48,0,0,0.06,5.6,-1.5,-1.88,1.19,-0.41,-7,4.1,-11.54,6.74,-3.22,-1.72,-2.69,-2,,1,,,,29,3,4
Atlanta,St. Louis,-6.5,-10.59,-12.05,-19.77,-2.41,-8,-6.38,-4.81,-6.4,-5.02,-3.64,-2.12,-8,-3,-19.8,-7.66,-9.97,-8.6,-5.4,-7,,-4,,,,41,20,4
Baltimore,Cincinnati,11.5,8.8,14.51,11.25,16,15,14.19,11.38,22.2,12.64,14.8,14.05,17,16,12.96,29.1,16.3,15.24,14.62,15,,7,,,,0,37,4
Chicago,Detroit,1.5,2.78,-2.14,2.33,19.48,1.01,-0.1,-0.63,-2.1,-0.2,2.55,-4.85,-1.8,-3,-1.57,-8.3,-3.51,-0.9,1.16,2,,-1,,,,21,14,4
Dallas,San Francisco,6.5,6.85,6.92,8.35,-7.65,22,7.65,6.76,8.8,7.05,8.68,8.03,8.6,7,8.89,7.1,8.56,8.97,9.36,11,,6,,,,41,24,4
Denver,Kansas City,7,1.46,20.09,-0.15,-18.94,17,12.79,14.67,4.4,7.83,9.14,11.24,7,5.8,3.86,5.09,10.32,9.02,9.61,11,,4,,,,23,22,4
Indianapolis,Jacksonville,3.5,0.22,-7.38,-7.28,-22,-6,0.68,2.15,3.5,0.15,0.35,-1.45,4.2,-1.5,-3.75,-5.62,0.55,-0.91,3.05,2,,1,,,,14,43,4
Miami,New England,4.5,-2.08,12.87,1.13,-22,6,9.35,13.75,6.3,8.08,8.34,13.51,7.3,11.4,1.07,27.98,3.34,7.61,0.78,5,,6,,,,3,10,4
N.Y. Giants,Washington,0,10.3,20.31,19.46,-12,13.01,12.41,13.27,3.3,9.9,9.15,12.55,11.1,8.9,9.29,18.54,2.54,10.36,2.56,-2,,6,,,,16,6,4
New Orleans,Philadelphia,1.5,-9.26,-2.16,-19.35,-15.48,-6,-1.41,1.18,-3.2,-3.72,-2.14,-3.2,-2.8,-0.7,-17.67,-6.52,2.13,-3.91,9.49,2,,-1,,,,21,7,4
Oakland,Cleveland,10.5,3.9,10.58,-0.99,-9.48,15,7.09,6.6,24.9,7.28,8.55,7.34,10.7,2.8,8.89,3.6,11.79,9.41,11.28,14,,5,,,,10,31,4
Pittsburgh,Tennessee,-7,-12.01,-5.56,-11.03,-10.06,-11,-4.71,-0.83,-14,-6.13,-4.78,-1.18,-10.5,-2.6,-14.27,-11.34,-2.45,-7.86,-7.92,-8,,-3,,,,23,20,4
San Diego,Seattle,-2.5,-8.65,-2.84,-7,1.65,0,-7.38,1.25,2.5,-5.26,-1.1,-1.77,-0.2,0.3,-7.89,-3.98,1.58,-2.69,0.64,-3,,-1,,,,20,12,4
Tampa Bay,N.Y. Jets,7,-0.91,8.15,2.71,4,12,5.05,2.17,2.5,8.1,7.65,13.36,6,7,2.25,17.05,11.11,8.02,20.1,11,,2,,,,21,17,4
Buffalo,Indianapolis,1.5,0.19,7.85,-10.4,-18,-11.68,3.53,5.62,4.1,-2.02,0.26,-3.64,-1,-2.7,-9.81,-7.15,-0.3,-1.47,2.68,-1,-2.23,1,,,,18,16,5
Carolina,Dallas,6,1.71,12.93,8.05,7,7.98,9.15,3.93,3.2,4.79,7.03,11.2,11.5,9.3,7.15,14.64,9.53,8.07,6.21,4,14.13,4,,,,16,13,5
Cincinnati,Miami,-7,-24.82,-21.86,-45.75,-17,-46.02,-20.64,-6.44,-19.5,-18.61,-12.6,-16.45,-23.7,-12.6,-42.24,-39.9,-17.7,-23.97,-8.38,-10,-32.93,-9,,,,31,16,5
Cleveland,Baltimore,-8.5,-10.23,-9.55,-18.69,-13,-18.87,-7.03,0.2,-16.1,-12.22,-6,-10.06,-7.3,-5.6,-16.84,-17.83,-10.06,-10.84,-3.58,-9,-11.13,-6,,,,12,0,5
Denver,New England,8.5,-3.03,20.28,-2.05,-12,-1.76,4.91,12.64,6.6,8.16,8.87,11.36,7.8,11.7,-1.7,17.92,8.83,7.12,3.94,10,8.28,6,,,,28,19,5
Detroit,Minnesota,1,-10.59,-3.14,-18.7,-24,-17.85,-5.19,-2.12,-1.2,-5.12,-1.12,-2.92,-4.8,-0.4,-16.25,-6.16,-2.32,-6.54,-3.63,-1,-8.98,-2,,,,31,24,5
Green Bay,Chicago,5.5,4.42,18.76,8.08,28,7.77,11.67,9.35,9.5,11.52,10.17,13.77,11.5,12.1,6.01,26.03,14.5,11.41,10.3,9,11.58,8,,,,27,24,5
Jacksonville,Pittsburgh,10.5,1.18,14.44,0.86,11,0.89,9.11,7.79,17.4,7.25,11.96,10.79,5,7.8,1.39,13.76,7.29,8.42,9.92,12,12.04,6,,,,24,13,5
Kansas City,Seattle,4,-1,11.18,7.13,5,7.67,5.27,6.59,5,7.32,5.57,8.15,12.5,5.9,6.21,10.73,9.32,7.02,4.23,7,6.48,3,,,,17,24,5
Philadelphia,Atlanta,3,-0.36,7.98,4.58,-14,3.56,3.87,2.78,0.7,6.18,5.8,11.93,4.6,10.6,4.94,19.45,7.44,5.45,5.93,2,1.25,3,,,,10,38,5
San Francisco,Arizona,3.5,-3.87,9.03,-2.84,-4,-3.08,2.92,3.49,-0.3,5.25,5.81,5.42,14.1,6.8,-2.05,9.33,6.74,4.04,1.2,4,13.54,1,,,,20,27,5
St. Louis,San Diego,17,10.01,25,13.75,17,13.58,22.52,18.12,9.4,19.59,15.57,16.49,20.6,13.9,12.41,24.47,19.72,17.58,12.91,20,24.81,15,,,,31,57,5
Tennessee,N.Y. Giants,5.5,0.65,-0.64,3.41,31,2.79,6.23,4.02,9.3,3.81,4.58,-0.63,11.6,1,0.47,-1.64,5.3,4.22,7.77,9,5.79,2,,,,14,28,5
Washington,Tampa Bay,1.5,-14.55,-1.67,-28.79,-26,-29.28,-8.78,2.33,-2.2,-8.06,-3.6,-8.95,-8.3,-3.5,-24.99,-13.16,-8.76,-10.4,-7.25,-2,-8.76,-4,,,,17,20,5
Arizona,Cleveland,4.5,-1.83,0.91,-6.48,-0.02,-6.61,-0.5,3.48,15.8,-1.67,3.23,-0.88,-2.1,0.7,-4.61,4.26,2.55,0.69,-1.81,4,4.36,0.25,0.34,,,21,29,6
Atlanta,N.Y. Giants,1,-5.15,-6.73,-12.02,-7.74,-11.84,-6.52,1.38,-0.7,-3.37,-1.54,-4.14,-1.1,-2.4,-11.26,-10.12,-6.34,-4.8,-0.65,0,-2.35,-4,-5.14,,,13,6,6
Carolina,Seattle,3.5,-4.77,4.52,-7.18,-33.91,-6.97,-2.95,4.4,-3.4,-2.88,0,2.84,-1.9,5.2,-5.65,8.97,-2.91,-1.08,-0.3,3,-2.23,-2,3.53,,,3,26,6
Chicago,New Orleans,5.5,3.49,3.01,4.4,-6.96,4.14,11.44,6.39,11.2,1.81,6.89,3.99,11.4,1,5.31,0.07,5.49,4.89,-13.16,10,9.1,3,1.93,,,31,10,6
Cincinnati,Tennessee,-9.5,-16.01,-23.25,-25.48,-46.64,-25.4,-19.17,-7.22,-21.2,-9.41,-12.75,-7.96,-19.6,-11,-23.22,-26.71,-16,-16.89,-11.37,-14,-24.33,-11,-24.13,,,23,14,6
