HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEHANK,LINEBIHL,LINEERIC,LINEGRID,LINEFOX,LINEFREE,LINESELF,LINECPA2,VSCORE,HSCORE,WEEK
Baltimore,Chicago,10.5,13.05,23.4,17.47,15.81,10.33,12.14,,14.4,11.82,15.29,3,25.9,14.6,15.77,19.05,20.25,16.29,,16,19.66,8,11,,,,,,,,6,17,1
Buffalo,New Orleans,1,8.82,1.08,2.11,1.48,5.33,3.92,,9.7,-0.68,9,3,5.6,-1.4,2.83,0.28,5.06,4.01,,-1,3.43,4,-2,,,,,,,,24,6,1
Cincinnati,New England,0,-4.65,2.55,-4.16,-4.6,-4.33,-2.6,,-5.5,-3.68,-4.43,3,-0.1,0.8,-2.36,-2.23,-5.95,-1.98,,0,0.64,1,-2,,,,,,,,17,23,1
Cleveland,Seattle,-4.5,-6.99,-5.93,-2.83,-4.04,-6.33,-3.96,,-18,-8.88,-9.48,3,-10.2,5.9,-2.88,-3.61,-10.01,-6.08,,-5,-3.93,1,-4,,,,,,,,9,6,1
Dallas,Tampa Bay,-9,-2.69,-1.22,-2.7,1.24,-4.67,-8.86,,-4.7,-5.08,-0.77,3,-1.5,1,-5.16,-4.37,-4.85,-3.7,,-11,-2.63,-0.25,-6,,,,,,,,10,6,1
Denver,N.Y. Giants,7,4.68,3.23,3.53,4.53,5,4.05,,-2.4,7.02,5.25,3,-4.8,4.6,1.88,1.82,4.08,2.52,,6,-0.92,0.25,1,,,,,,,,20,31,1
Green Bay,Detroit,5.5,5.01,5.15,4.94,0.03,6.33,7.12,,7.1,2.12,7.66,3,12.4,4,4.5,4.34,3.82,5.95,,8,6.41,3,2,,,,,,,,6,28,1
Jacksonville,Pittsburgh,3,4.25,-2.3,-1.7,-2.48,-2.33,6.94,,-1.3,-2.78,4.72,3,2.4,-0.6,0,1.34,2.51,1.34,,7,0.21,1,-1,,,,,,,,3,21,1
Kansas City,Oakland,-3,-1.04,-3.91,-3.82,5.21,-3.67,-7.81,,-6.4,-4.58,-0.3,3,-7.9,-1.1,-5.06,-3.46,-1.79,-4.47,,-5,-7.5,-1,-6,,,,,,,,27,24,1
Minnesota,Carolina,9.5,9.49,6.48,4.73,8.88,11.67,9.91,,7.2,13.82,8.94,3,5,5.6,2.92,6.98,6.05,7.23,,12,4.14,7,5,,,,,,,,24,13,1
N.Y. Jets,Indianapolis,0,2.95,0.14,0.99,1.72,3,2.62,,1.2,-0.88,2.36,3,-2.5,0.7,0.15,-0.6,-0.87,0.16,,-3,-1.08,3,-1,,,,,,,,45,25,1
Philadelphia,St. Louis,-4,0.35,3.23,4.15,-0.44,-1,-1.92,,5,-3.28,0.5,3,4,6.1,4.01,6.18,1.59,2.17,,-2,4.59,6,1,,,,,,,,20,17,1
San Diego,Washington,2.5,-4.95,-10.14,-2.21,-5.04,-2.33,-2.7,,1,-1.38,-5.51,3,2.1,-3.2,-4.21,-4.29,-7.78,-2.78,,-2,-3.72,-3,-8,,,,,,,,3,30,1
San Francisco,Atlanta,4,4.53,5.99,4.07,5.58,3.33,3.47,,6.5,1.02,6.87,3,7.1,4.9,8.38,8.39,7.15,5.18,,4,6.95,3,5,,,,,,,,13,16,1
