Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
Buffalo,N.Y. Jets,-3,-2.39,-5.35,-5,-7,-6.01,-2.11,0,-6,-7.55,-0.11,0.41,3.8,-7.84,-2.48,-1.87,-1.61,-7,-35.29,-8.18,-36,-7.5,-4,-1,,1.5,-2.39,-2.39,,,-2.5,,,,,,,,,,,,37,31,1
Carolina,Baltimore,-2,-7.19,-8.8,-2,-8,-6.24,0.28,-4,-14,-2.1,-4.69,-7.1,-11.4,-2.1,-5.04,-9.09,-2.73,-6,-2.77,-10.27,-5.33,-30.5,-14,-4,,-1.5,-7.19,-7.19,,,-2,,,,,,,,,,,,7,10,1
Chicago,Minnesota,4.5,4.22,14.1,4,12,6.55,6.67,9,14,8,8.55,12.87,16.5,7.89,12.52,12.44,10.09,8,-20.59,13.07,-25,-14.23,13,7,,4,4.22,4.22,,,4,,,,,,,,,,,,23,27,1
Cincinnati,San Diego,2.5,2.1,3.35,2,-3,2.41,0.23,2,-1,6.3,-0.38,3.61,8.2,7.02,-0.99,4.92,-0.34,1,9.18,3.34,-0.67,45.28,2,0,,2,2.1,2.1,,,2,,,,,,,,,,,,34,6,1
Cleveland,Kansas City,3,-2.02,2.35,2,-1,2.35,5.47,4,-5,4.9,2.1,2.12,-0.6,4.65,2.3,1.49,2.69,1,11.55,5.47,11.33,-79.08,-1,3,,4,-2.02,-2.02,,,3,,,,,,,,,,,,40,39,1
Denver,St. Louis,-3,-1.95,-3.9,3,-6,-3.35,-2.74,-4,-13,-9.7,-3.45,-9.16,-14.7,-10.06,-3.69,-8.43,-3.76,-6,18.25,-6.04,24,-40.03,-12,-2,,-1.5,-1.95,-1.95,,,-2.5,,,,,,,,,,,,16,23,1
Green Bay,Atlanta,7,10.19,6.25,3,12,10.06,9.33,14,15,13.85,9.99,14.34,17.8,13.7,11,13.66,8.62,9,-2.56,9.54,2.33,-16.48,15,6,,7.5,10.19,10.19,,,7.5,,,,,,,,,,,,34,37,1
Houston,Dallas,-8,-2.1,-4.3,-4,-2,-4.49,-5.54,-4,-7,-7.1,-1.33,-0.26,-3.1,-6.68,0.92,-2.65,,-6,-15.36,-5.96,-17.67,-75.87,-4,0,,-1,-2.1,-2.1,,,-7,,,,,,,,,,,,10,19,1
Jacksonville,Indianapolis,-3.5,3.32,2.15,1,6,1.27,0.23,-5,4,-5.3,2.32,4.17,3.3,-5.69,5.31,4.62,5.18,-1,-4.4,3.4,-3.33,-41.5,6,3,,-1.5,3.32,3.32,,,-3.5,,,,,,,,,,,,28,25,1
Miami,Detroit,8,9.5,6.75,6,13,7.48,12.42,15,11,15.5,6.17,8.07,5,15.89,10.11,7.03,8.98,1,-15.81,8.48,-14.67,27.31,13,10,,9.5,9.5,9.5,,,8,,,,,,,,,,,,21,49,1
