Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
Buffalo,New England,0,-1.58,1.08,-1,-4.32,0.04,-7.95,2,6.9,0.12,-1.13,3,3.8,0.32,0.7,3.82,1.3,1,-3.22,-2.22,-3.35,0,,2,-1.58,-1.58,,,1,,,,,,,-0.9,0.23,,,,,,2.9986923918,0,31,1,31
Carolina,Jacksonville,4,-0.28,2.13,5,-1.46,2.26,4.48,4,3.4,2.62,-0.43,3,5.9,2.72,-0.17,5.37,1.22,4,-0.33,-1,-14.43,-1,,4.5,-0.28,-0.28,,,4,,,,,,,3.8,3.41,,,,,,2.2908096548,23,24,1,1
Cincinnati,Denver,-6,-7.54,-6.45,-3,-9.02,-7.29,-6.07,-9,-14.7,-3.08,-8.04,3,-11.2,-3.38,-6.18,-8.11,-4.01,-7,-6.3,-6.53,-5.88,-13,,-4.5,-7.54,-7.54,,,-6,,,,,,,-3.1,-10.78,,,,,,3.8702490496,30,10,1,-20
Cleveland,Indianapolis,1,-0.15,3.28,1,-0.2,2.48,11.84,1,9.3,2.32,0.42,3,8.6,2.42,4.16,5.6,3.73,1,-4.69,-4.39,-3.48,7,,-0.5,-0.15,-0.15,,,1,,,,,,,1.9,2.28,,,,,,3.4311058634,9,6,1,-3
Dallas,Atlanta,2,-2.75,-6.74,3,-7.12,-4.46,-10.25,-5,-15.7,-0.58,-1.93,3,-7.4,-0.58,-7.01,-7.38,-3.47,-2,-2.4,-4.3,3.59,-10,,0,-2.75,-2.75,,,2,,,,,,,0.6,-7.66,,,,,,4.6060929204,27,13,1,-14
Detroit,Arizona,4,2.63,-0.65,-0.25,3.31,3,-4.06,4,9.7,2.42,4.96,3,6.9,2.62,3.95,4.55,4.01,2,3.18,3.01,13.8,5,,5.5,2.63,2.63,,,4,,,,,,,1.7,0.49,,,,,,2.7875047415,24,42,1,18
Green Bay,Minnesota,5,8.29,6.41,5,9.4,5.51,15.19,9,-3.7,8.72,9.18,3,-5.5,7.52,7.12,2.52,6.06,5,2.17,2.21,-0.96,3,,3.5,8.29,8.29,,,5.5,,,,,,,1.5,11.93,,,,,,4.689779714,30,25,1,-5
Kansas City,San Diego,5.5,5.7,6.62,4,7.01,6.65,2.06,8,7.8,8.52,6.91,3,3.7,8.02,7.08,5.86,6.08,6,11.65,10.99,11.15,10,,6,5.7,5.7,,,5.5,,,,,,,4.5,4.79,,,,,,1.8878481875,14,27,1,13
Miami,Houston,14,14.75,13.2,10,16.84,13.4,12.74,18,16.6,10.02,14.84,3,12,9.92,13.92,12.71,9.86,11,14.34,13.57,17.45,16,,13.5,14.75,14.75,,,13.5,,,,,,,10.1,14.65,,,,,,3.2990366231,21,20,1,-1
N.Y. Giants,St. Louis,0,1.08,7.84,3,2.25,5.56,3.99,0,21.7,0.72,1.56,3,8.7,0.82,7.38,8.24,5.8,4,11.67,12.51,7.64,8,,1,1.08,1.08,,,1,,,,,,,4.6,7.78,,,,,,4.8047199017,13,23,1,10
Philadelphia,Tampa Bay,3,1.03,-1.68,-0.25,0.86,-0.59,4.88,2,-14.2,-0.28,1.29,3,-11.7,0.02,1.23,-1.24,1.94,2,3.28,3.9,-0.47,-5,,2,1.03,1.03,,,3,,,,,,,-2,0.18,,,,,,4.4668578495,17,0,1,-17
Pittsburgh,Baltimore,5,4.93,8.65,4,6.89,6.97,10.39,12,9.2,7.22,5.65,3,8.6,7.42,6.49,7.21,5.6,8,4.97,4.41,0.48,9,,4,4.93,4.93,,,5.5,,,,,,,5.3,9.09,,,,,,2.2881550821,15,34,1,19
San Francisco,Chicago,7,6.11,11.67,7,7.5,8.09,14.43,9,0.7,9.62,6.56,3,7.8,9.62,7.35,6.09,5.99,8,9.51,9.48,16.26,8,,7,6.11,6.11,,,7,,,,,,,6.8,13,,,,,,2.9734389844,7,49,1,42
Seattle,New Orleans,3,1.75,2.72,3,-0.49,2.74,-6.92,2,5,0.92,2.13,3,9.6,1.32,0.65,5.93,1.33,3,4.35,4.11,3.57,7,,4,1.75,1.75,,,3,,,,,,,4.4,-0.83,,,,,,3.1972703794,10,27,1,17
Tennessee,Oakland,3,-0.48,-0.84,7,-4.4,0.56,-5.16,1,-9.7,4.52,-0.78,3,-1.6,4.42,-1.04,-3.71,-0.26,1,6.5,5.28,3.66,-2,,2,-0.48,-0.48,,,3,,,,,,,5.9,0.38,,,,,,3.7943716863,20,25,1,5
Washington,N.Y. Jets,3,-2,-0.36,-0.25,-4.82,-3.77,-2.55,-1,-23.1,-2.78,-1.78,3,-5.8,-2.28,-1.58,-6.15,-0.01,-1,-6.64,-7.46,-3.54,-6,,0,-2,-2,,,3,,,,,,,-2.8,-1.62,,,,,,4.9748912407,13,16,1,3
