Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
Buffalo,Jacksonville,3,2.38,3.32,2,3.56,1.55,4.92,1,-4,0.12,2.79,2.25,,-0.68,3.71,2.07,-2.3,1,-4.03,,0.9,-6,-2,,,0,2.38,2.38,,,3,,,,,,-4,-1.7,6.2,,-6.27,3.33,0,2,1,1,0,,2.6975526165,13,10,1,-3
Carolina,Green Bay,3,-0.89,1.22,6,0.36,1.83,4.27,2,1,5.82,-1.53,2.25,,4.52,0.33,1.1,10.13,1,1.48,,-1.33,-3.77,1,,,2,-0.89,-0.89,,,2,,,,,,21,5.6,7.83,,6.88,0.59,-5,1.22,-7,2,4,,4.9172982958,24,14,1,-10
Chicago,Detroit,3,5.41,7.33,4,5.34,4.64,6.05,4,-18,7.22,6.72,2.25,,7.12,5.08,4.05,2.99,5,5.26,,2,8.86,3,,,-3,5.41,5.41,,,3,,,,,,-26,3.1,6.7,,4.36,5.75,9,5.34,7,-1,2,,8.0966304171,20,16,1,-4
Cleveland,Baltimore,-3,-2.97,-3.35,1,-3.16,-3.24,1.8,-8,-14,-3.28,-3.43,2.25,,-4.28,-5.77,-3.31,-0.94,-5,-7.19,,-2.33,-8.11,-10,,,-2,-2.97,-2.97,,,-2.5,,,,,,-2,-0.1,-4.2,,-4.01,-2.19,-5,-3.16,-1,-11,-1,,3.617747809,3,20,1,17
Denver,Kansas City,3,2.74,4.62,3,3.06,1.88,1.56,1,-16,-2.98,3.29,2.25,,-0.98,-0.04,3.49,3.39,2,6.44,,16.1,10.06,0,,,4,2.74,2.74,,,3,,,,,,1,1.2,-0.54,,9.09,0.42,1,2,9,-1,1,,4.1176260477,24,34,1,10
Houston,San Diego,4.5,0.54,2.1,3,0.47,1.97,5.62,5,5,5.62,3.03,2.25,,6.92,2.23,5.11,-5.46,2,3.63,,5.1,-0.04,2,,,5,0.54,0.54,,,4,,,,,,-15,1.1,8.95,,5.81,4.68,-4,2.1,-1,-6,-1,,4.7566316926,27,20,1,-7
Miami,Tennessee,-3,1.71,-3.13,2,1.76,0.73,3.26,-3,0,-1.98,1.05,2.25,,-1.68,1.52,0.22,-3,-1,1.07,,3,-2.31,3,,,2,1.71,1.71,,,2,,,,,,7,-1.9,0.47,,4.7,2.39,3,1.52,9,-2,-1,,2.4352250304,17,7,1,-10
Minnesota,Dallas,4.5,5.94,6.93,4,7.96,4.42,3.92,6,17,3.02,5.95,2.25,,5.22,5.15,4.71,7.35,2,10,,7.33,18.24,5,,,3,5.94,5.94,,,3.5,,,,,,-6,4.2,0.7,,-2.1,3.38,9,4.71,-4,4,3,,3.9012487613,17,35,1,18
N.Y. Jets,Cincinnati,4.5,11.24,1.26,5,2.77,6.1,4.75,6,29,3.82,11.09,2.25,,4.22,3.82,7.14,6.69,3,9.32,,14.43,8.91,9,,,5,11.24,11.24,,,3.5,,,,,,31,6.2,2.93,,5.56,5.86,8,5,18,-2,4,,7.569820592,24,31,1,7
New England,Indianapolis,3,5.66,4.25,4,4.61,4.7,7.36,5,13,2.92,5.39,2.25,,3.22,4.17,6.04,-2.01,5,7.08,,11.33,7.24,5,,,6,5.66,5.66,,,3,,,,,,26,3.7,8.63,,11.12,6.97,5,5,9,3,1,,5.1145460236,24,27,1,3
