Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linematt,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhat,linewann,linestd,vscore,hscore,week,difference
Arizona,San Francisco,7.5,4.95,9.25,4,12.33,6.78,5.64,9,-0.5,9.4,,2.25,5.27,10.4,6.94,6.26,6.54,6,4.75,6.18,2.73,8.48,10,7.5,,8,4.95,4.95,6.94,3.56,7.5,,,,,,6.3,7,9.85,2.02,5.48,4.41,4.47,6.18,19.3,6.5,4,,7.9,,,7.2,4.8,,,,,,3.48876954,27,34,1,7
Carolina,Atlanta,5.5,6.54,8.35,5,4.72,7.81,7.49,10,23,11.5,,2.25,1.87,11,7.45,12.09,6.41,8,11.84,10.74,10.44,7.52,12,5.5,,4,6.54,6.54,10.15,7.99,4.5,,,,,,11.1,5,10.46,1.68,7.58,7.2,3.15,7.6,7.6,8.2,8,,18.6,,,5.2,1.8,,,,,,4.402491792,20,6,1,-14
Cleveland,New Orleans,3,4.62,2.26,4,5.13,4.05,8.35,3,21,2,,2.25,0.8,1.7,5.92,9.24,5.3,5,2.45,7.19,-0.14,-5.8,4,3,,-2,4.62,4.62,5.93,7.58,3,,,,,,7.4,-3,10.54,11.83,2.43,4.06,2.24,4.06,2.7,6.4,6,,11.7,,,0.09,-2.6,,,,,,4.5413765854,19,14,1,-5
Detroit,Seattle,-6,-5.49,-7.5,-2,-10.18,-7.72,-8.13,-7,-27.5,-5.8,,2.25,-7.49,-5.7,-7.11,-12.3,-5.08,-5,-14.51,-9.88,-8.67,-17.29,-13,-6,,2,-5.49,-5.49,-8.84,-8.21,-3.5,,,,,,-10.1,-10,-12.21,-5.41,-9.96,-6.38,-6.47,-7.49,-13,-8.3,-9,,-15.6,,,-8.3,-5.8,,,,,,5.2891299974,9,6,1,-3
Green Bay,Chicago,-3.5,3.21,-0.09,1,1.35,-0.82,-3.72,-3,-2,-3.3,,2.25,-1.82,-3,-1.63,0,-0.16,-4,-6.17,-4.16,-6.74,-1.44,2,-3,,9,3.21,3.21,-1.31,-4.7,-3,,,,,,-4.2,-3,-1.22,-1.43,-3.73,-0.72,-3.32,-1.31,4,-1.6,-2,,1.7,,,-2.1,2.2,,,,,,3.0958944718,26,0,1,-26
Houston,Philadelphia,-4.5,-7.46,0.3,-0.25,-6.1,-2.64,-4.34,-4,3,-2.9,,2.25,-6.57,-3.4,-0.17,0.48,0.2,-2,2.36,-1.99,8.3,-2.85,-2,-4.5,,-5,-7.46,-7.46,-1.51,-1.4,-3,,,,,,-0.3,-9,-3.73,1.97,2.72,0.04,-3,-2,-7.9,-2.2,-1,,1.1,,,-8.9,-6.5,,,,,,3.2602922885,24,10,1,-14
Jacksonville,Dallas,2.5,4.97,4.4,3,7.54,3.64,4.25,-3,11,2.6,,2.25,0.27,2.4,4.89,5.93,4.34,5,5.52,4.51,5.52,3.64,6,2.5,,7,4.97,4.97,5.39,4.85,3,,,,,,1.5,-3,4.21,6.03,7.97,2.95,1.63,4.34,0.4,4.1,2,,9.8,,,7.6,2.8,,,,,,2.977536869,17,24,1,7
Kansas City,Cincinnati,2.5,5.84,2.87,3,7.62,3.98,3.84,3,18.5,-0.2,,2.25,-0.07,-0.2,4,10.05,3.92,4,1.99,0.94,-5.27,-1.88,14,2.5,,7,5.84,5.84,9.47,2.88,4.5,,,,,,-3.6,8,6.74,5.88,-0.51,2.48,-1.75,3.1,6.6,5.8,-4,,21.1,,,2.7,3.1,,,,,,5.4327147019,23,10,1,-13
N.Y. Giants,Indianapolis,-3,-4.2,1.37,-2,-6.8,-1.98,-0.79,-1,0.5,-2.2,,2.25,-7.5,-2.7,-0.43,-1.5,-0.33,1,2.22,2,-7.04,6.48,-3,-3,,-8,-4.2,-4.2,-1.95,-0.3,-3.5,,,,,,5,-5,-1.18,-6.67,-1.79,3.18,-3.17,-2,-2.2,-2.6,4,,-2.9,,,-0.04,-6.3,,,,,,3.2395260838,26,21,1,-5
New England,Buffalo,9,12.1,5.64,7,12.91,10.05,11.88,13,26,14.5,,2.25,5.57,14.7,8.8,10.29,7.39,8,14.26,12.01,5.66,15.52,12,9,,6,12.1,12.1,12.23,9.27,8,,,,,,11.3,9,13.64,14.7,4.37,8.33,5.21,11,18.7,9.8,11,,15.2,,,12.6,3.9,,,,,,4.5424604909,17,19,1,2
Oakland,San Diego,-3,-3.31,-4.32,-1,-10.44,-5.01,-6.58,-1,-19,-2,,2.25,-6.12,-2.2,-4.59,-7.27,-3.13,-3,-7.88,-4.89,-12.37,-3.61,-8,-3,,-6,-3.31,-3.31,-7.3,-3.29,-2.5,,,,,,1.9,-7,-9.22,-15.47,-5.45,-3.61,-5.37,-4.89,-9.3,-7.4,-2,,-8.6,,,-7.5,-7.1,,,,,,4.0494442205,27,0,1,-27
Pittsburgh,Miami,1,12.4,11.38,6,10.35,8.03,11.04,5,10,-2.2,,2.25,6.16,-3,8.16,13.76,6.94,3,8.68,7.75,4.36,10.4,14,2.5,,13,12.4,12.4,7.71,10.57,5,,,,,,4.9,8,14.42,2.99,3.51,7.8,2.9,7.8,15.7,10.5,4,,16.4,,,9.1,2.6,,,,,,4.8796205784,17,28,1,11
St. Louis,Denver,-4,-5.07,-6.44,-3,-7.47,-6.85,-8.98,-6,-18,-4.4,,2.25,-9.55,-3.8,-4.01,-8.73,-2.67,-5,-10.89,-8.97,-11.54,-13.56,-11,-4,,0.01,-5.07,-5.07,-8.9,-8.48,-3.5,,,,,,-8.2,-4,-11.85,-15.73,-4.46,-6.77,-5.82,-6.77,-15.3,-9.7,-7,,-10.6,,,-11.6,-4.3,,,,,,4.0931463041,10,18,1,8
