Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhatif,linewann,linetsr4,linedwig,linestd,week,hscore,rscore
Buffalo,Denver,-3,-2.04,-2,-1,1.07,0.76,-5,-0.5,-3.88,-1,2.25,4.22,-3.48,-2.54,7.46,0.87,-1,13.55,-2,10.67,24.58,0.01,-2.5,,1,-2.04,-2.04,3.4,5.19,-3,-3.4,,,,,,0.02,-6,1.99,3.81,7.9,2.26,-7.98,0.45,2.6,3.2,1,,14.2,,-0.05,0.09,3.6,1.09,,3.6,-9.4,4.03,8.71,-3,4.0067005433,1,14,15
Cincinnati,Baltimore,3,3.59,-2.99,2,-0.1,-0.85,2,1.2,-1.08,-0.2,2.25,-2.71,-0.98,-4.26,-2.71,-1.03,-2,-7.17,3.5,-8.31,-6.17,-3,2.5,,1,3.59,3.59,-3.58,-1.04,3,-0.73,,,,,,-0.1,-3,-3.71,-8.67,-7.26,1.76,4.76,-1.03,-3.6,-0.8,1,,-4.5,,3.4,-6.57,4.6,-0.98,,-1.5,-1.39,-4.8,-8.67,-2.8,2.9896669947,1,27,20
Cleveland,Pittsburgh,-5.5,-7.03,-7.62,-3,-8.51,-5.16,-4,1.2,-7.38,-4.9,2.25,-9.23,-7.68,-3.77,-7.61,-0.67,-8,-7.31,-3,-3.16,-15.68,-9,-5.5,,-1.5,-7.03,-7.03,-8.66,-1.14,-4.5,-3.57,,,,,,-2.9,-8,-8.39,-15.03,-4.21,-4.88,-6.23,-5.94,-7.4,-2,-3,,-9.8,,-3.35,-6.46,-1.8,-5.64,,-3.3,11.02,-9.67,-17.36,-5.3,3.7513737092,1,7,34
Dallas,N.Y. Giants,6,1.44,-0.82,3,3.2,4.19,7,2.3,6.32,6,2.25,2.57,5.52,6.27,0.9,5.8,4,6.85,4,15.85,-4.92,4,6,,2.5,1.44,1.44,3.67,4.8,4,0.03,,,,,,0.5,2,4.04,7.92,5.81,2.41,-1.2,3.72,3.1,1,5,,0.6,,3.77,0.95,6.4,8.16,,5,11.79,3.14,4.32,12.3,2.574040247,1,45,35
Green Bay,Philadelphia,-3,-2.69,-6.09,1,-8.02,-1.67,-4,0.7,-6.08,-0.3,2.25,-7.54,-6.78,10.85,0.08,8.2,-1,-3.93,-0.5,-1.75,-6.59,-4,-3,,-7.5,-2.69,-2.69,-2.63,2.97,-3,-16.07,,,,,,2.4,-4,-6.64,-15.56,-2.19,0.88,1.29,-2.66,-8.1,0.1,2,,2.3,,0.82,-1.54,3.5,-7.17,,3.5,-4.21,-4.86,-17.42,18.1,6.2453241265,1,16,13
Houston,Kansas City,3,-5.96,1.05,-2,-0.6,-0.24,0.01,1.4,-2.33,-2.3,2.25,-1.95,-1.68,14.47,-0.4,9.9,1,4.16,0.5,7.67,15.41,-3,2,,-2,-5.96,-5.96,-1.78,2.46,0,-5.97,,,,,,5,-8,-3.72,-12.48,6.23,1.24,-6.98,-1.54,-3.8,0.3,3,,-1.4,,-0.16,-2.39,1.2,-2.97,,0.7,-7.42,-3.42,-13.16,17.5,5.6496799939,1,20,3
Indianapolis,New Orleans,6,12.99,3.33,10,8.08,6.84,4,7.1,5.52,13,2.25,13.31,5.12,-2.31,10.83,0.75,5,-5.98,6,-5.33,5.49,9,6,,2.5,12.99,12.99,7.91,10.02,6.5,3.9,,,,,,1.1,7,6.36,13.31,-0.8,6.27,10.9,6.49,6.4,2.9,5,,22.2,,9.14,10.97,8.6,2.59,,8.3,13.46,6.59,14.68,0.6,4.9603044092,1,41,10
Jacksonville,Tennessee,7,5.23,12.51,6,14.65,6.19,8,4,7.62,7.3,2.25,10.46,8.02,4.29,3.18,4.65,4,-0.33,6.5,-1.79,-11.3,11,7,,1.5,5.23,5.23,6.1,3.44,6.5,10.6,,,,,,0.7,-4,9.69,21.92,-6.25,6.11,6.89,6.11,10,1.5,8,,4.7,,5.56,-0.75,9.5,2.62,,-0.9,15.56,7.86,11.26,9.3,3.7695118156,1,10,13
Minnesota,Atlanta,3,1.73,3.92,2,1.54,2.17,2,2.3,4.12,1.1,2.25,-1.07,4.32,4.2,1.03,4.42,1,-0.84,4,-1.33,-14.62,1,3,,-2.5,1.73,1.73,1.21,4.03,2.5,1.9,,,,,,-1.6,5,0.35,-2.19,-3.59,0.61,0.49,1.73,0.2,1.3,3,,0.5,,3.28,0.4,6.8,2.27,,2.9,13.79,0.75,-4.27,6.2,2.315608347,1,24,3
N.Y. Jets,New England,-6.5,-6.79,-5.5,-2,-8.23,-4.33,-4,-0.1,-5.28,-8.5,2.25,-9.83,-5.48,-0.17,-4.8,1.42,-4,-2.47,-5,2.73,-2.71,-6,-6.5,,1.5,-6.79,-6.79,-7.39,0.02,6,-8.83,,,,,,-2.7,-11,-8.37,-1.96,2.02,-1.64,-4.07,-4.9,-6.3,-0.6,-2,,-8,,-2.81,-5.01,1.5,-3.29,,2.2,-8.89,-8.67,-2.63,0.8,3.583674233,1,14,38
