Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linefolk,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linetsr4,linedwig,linejwilson,linegametime,linecover81,linecrunch,linegpa,linelinx,linecombo,linegirl,linestd,week,hscore,rscore
Atlanta,Detroit,-3,1.88,4.08,1,-0.46,-1.1,1,1.46,-1.94,,2.25,1.47,-1.88,-0.01,-2.67,0.36,-2,-6.5,,-14.83,0.8,1,-3,,-1.5,1.88,1.88,1.79,4.47,-1,-1,,,,,3.75,-2,3,,,-3.7,,-11.72,0,-8,-1.2,2,-3,4.9,1.99,-2.34,,0.4,0,-3.1,,-5.44,,-4.1,0.7,-3,-4.5,-1.85,1,,,,2.7475626846,1,34,21
Baltimore,Cincinnati,-1.5,3.31,2.8,3,0.57,0.17,0.01,-1.53,-0.36,,2.25,2.72,-0.08,-2.05,-2.58,-0.43,-2,-4.35,,1.17,-5.21,1,-1.5,,2,3.31,3.31,-0.76,7.84,1,-5,,,,,2.33,-1.1,-2,,,-2.63,,-11.47,0.62,1.3,0.4,1,-0.1,-2,0.62,-0.01,,3.6,0.8,-1.4,,-1.83,,2,-1.2,1,1,-3.51,4,,,,2.2481902892,1,17,10
Buffalo,Seattle,1,0.61,-1.06,2,1.27,-1.66,-2,-4.37,-4.06,,2.25,-2.04,-3.78,-7.14,-2.68,-3.44,-4,-1.9,,-0.48,-10.52,-3,0.5,,-1,0.61,0.61,-1.05,4.69,0,-10,,,,,-2.6,0.6,-1,,,1.96,,2.04,-1.2,-11.6,0.2,-2,-3.85,-2.3,-1.86,1.62,,-1.1,2.1,-1.2,,-4.66,,-0.1,-1.2,2,-7,-1.11,-3,,,,3.0811191247,1,34,10
Cleveland,Dallas,-5.5,-4.2,-5.13,-3,-6.03,-3.32,-2,-0.54,-3.94,,2.25,1.09,-3.67,-1.46,-1.71,-0.35,-3,-4.48,,-3.08,-0.97,1,-5,,-0.5,-4.2,-4.2,-0.26,-1.7,-3,-4,,,,,-5.72,-2.5,-6,,,-5.41,,-13.99,-2.9,-21.1,-0.4,-4,-3.9,5.1,0.52,-2.87,,-8.8,-2.7,-1.6,,-8.25,,-2.9,-2.3,1,-8,-7.17,1,,,,4.2705196764,1,10,28
Green Bay,Minnesota,2.5,6.56,4.39,5,10.91,4.61,1,8.97,-0.16,,2.25,0.32,0.12,6.56,5.9,5.54,6,3.77,,6.82,8.03,6,3,,-1.5,6.56,6.56,7.55,6.44,3,-6,,,,,6.87,1.3,5,,,2,,13.02,5,8.3,2.3,4,6.85,9.8,3.61,7.11,,-0.8,3.8,-3.7,,6.14,,1.6,5.8,5,0.01,4.97,5,,,,3.223273669,1,24,19
Indianapolis,Chicago,10,10.01,10.04,5,8.63,8.91,11,9.44,7.59,,2.25,7.69,7.72,11.55,5.96,9.13,11,8.1,,5.89,-7.26,13,10,,5,10.01,10.01,8.73,4.9,9.5,13,,,,,13.62,5.1,7,,,4.16,,9.69,8.63,18.8,2.3,8,14.1,3.2,7.23,5.75,,3.2,13.2,7.3,,13.53,,6.6,15.2,8,9.5,14.73,13,,,,3.7806709034,1,13,29
Miami,N.Y. Jets,-3,1.16,-3.07,0.25,-4.35,-1.86,-4,-2.87,-6.46,,2.25,-4.98,-7.14,0.19,-4.04,1.09,-2,3.04,,4.92,5.96,-5,-3,,-2.5,1.16,1.16,-2.16,-0.02,-2.5,-2,,,,,0.14,-1.3,-5,,,-2.64,,-11.68,-2,-3.2,-1.9,2,-5.85,-4,1.35,-1.93,,-2.7,-0.4,-5.2,,-2.34,,1.5,1.4,-1,-1,-2.98,-1.5,,,,2.6460345978,1,14,20
N.Y. Giants,Washington,4.5,7.84,0.05,4,0.33,3.89,7,5.08,5.74,,2.25,0.39,5.54,2.77,4.38,2.81,2,7.82,,10.17,3.86,8,4.5,,2,7.84,7.84,4.53,5.25,4,2,,,,,7.91,7.2,2,,,4.12,,-0.6,3,5.4,2.3,5,5.8,8.6,4.51,2.87,,-3,5.1,6.3,,1.81,,1.6,1,4,3,1.73,2.5,,,,2.8323857919,1,16,7
New England,Kansas City,16,17.41,17.87,11,24.72,16.72,16,26.1,16.17,,2.25,14.08,15.99,19,22.05,15.22,21,20.42,,14.92,22.19,25,16,,10,17.41,17.41,21.69,8.92,14.5,26,,,,,20.05,12.6,10,,,10.36,,5.1,17.41,21.8,7.6,13,24.1,23.9,11.2,14.88,,9.5,15.9,12.5,,29.57,,13.4,19.7,14,19,20.86,18,,,,5.7510596148,1,17,10
New Orleans,Tampa Bay,3,2.89,-1.79,4,-0.25,1.41,6,3.55,5.34,,2.25,5.6,5.14,-0.86,3.95,0.86,1,-0.11,,-4.46,-6.39,5,3,,1.5,2.89,2.89,2.89,8.47,3,-2,,,,,3.06,1.4,2,,,-3.02,,-7.38,1.7,-5.4,1.7,0.01,2.2,8,3.21,-1.73,,0.01,8.1,2.1,,-0.95,,-3,-1.5,3,-1.5,2.52,5.5,,,,3.1877024129,1,24,20
