Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linegabe,linedwig,linejwilson,linegametime,linecover81,linecrunch,linensr,linelinx,linecombo,linegirl,linestd,linegrn,week,hscore,rscore
Cincinnati,N.Y. Jets,2.5,-0.79,-2.75,-1,-5.3,-2.375531915,-2,-4,-6.38,-3.98,-5,-4.92,0.16,-0.84,-2.01,-4.98,-0.02,-1,-4.78,-0.33,-4.6,-4.95,-11,1.5,-2.32,4.5,3.01,-5.25,-1.24,,4,-7,,-2.01,-1.35,-0.73,-5.1,3,,-1,1.77,-7.53,12,-1.76,-9.2,-2,-5,-2.67,-16.3,,1.5,7,-1,3.46,,-4,,2,-6.1,-3.7,0.5,2.6,0.6,,-2.09,-1.52,3.33,3.9587205929,,,,
Arizona,San Francisco,6,7.7,6.33,6,11.42,6.9468888889,4,8,9.41,7.22,3,2.5,9.36,7.21,4.73,2.69,4.44,5,-12.7,7.86,-12.58,-9.76,9,6,,3,7.7,7.7,7.18,,6.5,4,,,8,,2.9,10,,,-7,,4.83,7.1,7.1,4,6,9.2,16,,7.28,,9,5.5,,8,1.99,5.5,1.7,5.1,4.5,,6,11,12.91,11.16,7.76,2.9491931271,,1,16,20
Atlanta,Miami,4,3.73,1.87,3,1.84,3.8897777778,4,6,5.88,4.77,-3,2.5,5.9,5.23,4.42,5.58,4.16,3,-3.18,4.92,-0.63,-2.89,8,4,,0.5,3.73,3.73,4.42,,4,-2,,,3.39,,1,7,,,-7,,4.26,3.73,5.4,1.6,1,11.95,3.9,,4.04,,6.5,5.5,,-2,7.02,3.5,-4.5,5.5,3.5,,4,3,3.7,4.79,3.06,2.6237564058,,1,19,7
Baltimore,Kansas City,12.5,12.47,18.27,9,22.66,14.872444444,11,11,18.63,13.08,10,2.5,7.11,13.16,14.57,17.29,11.98,15,9.07,17.3,4.37,9.65,22,12.5,,7.5,12.47,12.47,20.5,,8.5,16,,,14.57,,13,11,,,12.93,,21.59,13.16,21.6,8.9,15,17.63,23.7,,8.71,,20.5,15.2,,9,23.01,11.5,16,12.5,6,,10,23,27.92,23.27,15.92,5.6301704138,,1,38,24
Carolina,Philadelphia,-2.5,-1.06,1.33,-0.25,-0.17,-0.760222222,-1,0.01,-1.13,-2.55,1,2.5,2.9,-1.88,1.29,1.45,1.76,1,-1.22,-0.44,-7.63,4.5,-6,-2.5,,2,-1.06,-1.06,-1.02,,1,2,,,-2.47,,0.01,-4,,,-7,,-9.91,-0.5,-4.1,-0.9,0.01,-1.88,-8.7,,-2.78,,-2,-1.2,,-5,-0.82,-0.5,4.5,0.5,1.5,,2,-4,0.54,-0.3,2.66,2.4028841467,,1,10,38
Cincinnati,Denver,4.5,1.17,-3,2,0.97,2.1977777778,-1,2,1.49,1.46,-3,2.5,-4.67,1.55,-1.49,3.83,-0.74,1,7,3.41,7,7,3,4.5,,-3,1.17,1.17,2.58,,1,3,,,4.86,,3.3,4,,,7,,13.54,2.5,-0.1,2.6,2,2.19,9.6,,1.92,,0.01,8,,7,4.73,4,12.5,-0.5,2.5,,6,5,6.65,4.07,1.44,2.9184778792,,1,7,12
Cleveland,Minnesota,-3.5,-1.79,-9.63,-0.25,-6.41,-5.179555556,-6,-7,-3.49,-4.74,-1,2.5,-7.19,-4.37,-4.4,-9.34,-2.49,-7,-1.67,-2.81,2.67,-9.48,-8,-3.5,,-2.5,-1.79,-1.79,-6.97,,-2.5,-7,,,-1.93,,-5.2,-9,,,1.06,,-15.05,-4.5,-4.9,-1.4,-3,-10.82,-13.1,,-1.41,,-5,-0.3,,-14,-8.67,-6,2.4,-4.5,-0.5,,-4.2,-1,-15.9,-9.7,-2.08,3.933056847,,1,20,34
Green Bay,Chicago,4,2.58,4.19,4,4.69,2.5208888889,5,4,4.32,2.04,3,2.5,0.86,2.19,3.41,1.09,3.35,2,-1.95,2.7,1.37,7,6,4,,1,2.58,2.58,0.6,,3,-7,,,4.88,,1.6,-4,,,-8.6,,4.09,2.7,4,0.7,4,3,3.4,,2.66,,1.5,4.9,,5,4.7,2.5,4.4,7.1,3,,3,5,-5.94,-0.81,2.21,2.7113966732,,1,21,15
Houston,N.Y. Jets,4.5,3.26,4.12,4,5.78,3.7002222222,2,4,2.55,3.35,3,2.5,9.51,4.2,0.06,6.28,0.62,2,-3.88,3.51,-0.63,-0.58,4,4.5,,1,3.26,3.26,5.76,,4,-2,,,4.72,,2.1,6,,,-0.41,,2.98,3.42,1.4,2.4,2,4.34,9.2,,1.89,,0.5,5.6,,3,4.57,5,-0.8,1.5,3.5,,3,4.3,9.6,6.07,4.47,2.3396605124,,1,7,24
Indianapolis,Jacksonville,6.5,10.04,8.64,6,11.92,9.8304444444,7,9,9.66,9.3,10,2.5,11.36,9.9,9.13,12.87,7.5,9,0.67,11.23,-4.33,-5.67,14,7,,6,10.04,10.04,11.78,,7.5,10,,,8.62,,4,6,,,7.34,,6.54,9.13,11.6,6.1,4,13.98,19.6,,7.43,,13,11.1,,10,16.09,7,-3.2,10.9,5.5,,7,9,18.22,13.94,10.8,3.4959508757,,1,14,12
