HOME,ROAD,LINE,AVG,STD,T,EFF,LINETODD,LINESAG,LINEPZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINEED,LINEMCMC,LINEMASS,LINEMORE,LINEPYTH,LINEEFF,LINECPA,VSCORE,HSCORE,WEEK
Indianapolis,Tennessee,5.5,5.36,2.34,-0.06,,2,7.48,1.71,6.97,14.07,9,6.34,7.05,3.75,6.07,4.55,1,3.84,3.5,2.71,,,
Jacksonville,Miami,8.5,6.96,1.97,-0.78,,7,6.98,5.34,8.14,6.33,6,5.76,4.45,7.77,4.41,8.05,7,11.45,9.2,8.25,,,
St. Louis,Minnesota,7,7.78,2.48,0.31,,22,6.86,7.47,9.06,13.92,13,5.47,3.63,6.96,5.94,8.17,8,9.75,9.2,11.82,,,
St. Louis,Tampa Bay,13.5,8.45,2.82,-1.79,,16,8.49,6.4,6.41,6.62,13,7.08,3.27,11.59,5.72,9.01,10,10.78,8,13.05,,,
St. Louis,Tennessee,7,4.3,3.96,1.09,,,3.5,2.27,7.15,7.94,10,1.01,-4.96,6.91,6.3,3.98,7,5.8,3.3,-1.26,,,
Tampa Bay,Washington,5,5.28,2.15,0.13,,-3,4.03,3.7,7.9,5.22,8,3.87,6.16,3.21,8.52,5.86,3,2.57,2.7,6.06,,,
Atlanta,Minnesota,-4,-3.5,6.98,0.07,,-1,-0.83,2.45,-11.84,2.33,-13.34,1.8,0.04,-1.51,-14.76,-0.64,,,,,17,14,1
Chicago,Kansas City,-3,-2.75,9.63,0.03,,-1.5,-3.63,0.37,2.49,-27.67,1.79,-0.6,6.14,2.43,-8.56,-1.53,,,,,17,20,1
Cleveland,Pittsburgh,-6,-0.74,2.78,1.9,,,-5.2,,-1.77,1.67,-1.39,-1.8,3.17,1.47,1.08,-3.88,,,,,43,0,1
Denver,Miami,6,5.03,9.75,-0.1,,8,10.19,10.38,9.19,-19.22,8.6,4.01,6.15,10.83,-3.63,12.54,,,,,38,21,1
Green Bay,Oakland,9,13.55,9.74,0.47,,10,12.45,7.02,14.03,-3.72,12.98,5.01,28.49,13.93,28.56,15.54,,,,,24,28,1
Indianapolis,Buffalo,-2.5,-10.32,17.39,-0.45,,-25,-4.43,-8.32,-5.85,-57,-5.63,-6.6,5.44,-3.31,-17.79,-0.93,,,,,14,31,1
Jacksonville,San Francisco,5.5,7.81,19.39,0.12,,-3,-2.56,0.18,35.08,-24.33,36.61,-0.19,5.42,-0.1,28.08,-1.38,,,,,3,41,1
N.Y. Jets,New England,7,11.37,7.17,0.61,,9.5,3.12,9.7,12.34,25.67,13.31,5.3,16.78,9.69,15.21,1.32,,,,,30,28,1
New Orleans,Carolina,3.5,-8.11,19.98,-0.58,,0.5,1.37,3.59,-14.69,-60.67,-16.29,5.4,3.75,0.87,-4.29,-1.39,,,,,10,19,1
Philadelphia,Arizona,-3,14.13,18.52,0.92,,-10.5,0.89,-2.32,39.64,30,41.22,-5.62,4.1,-0.66,29.16,3.62,,,,,25,24,1
Seattle,Detroit,9.5,9.77,5.08,0.05,,10,5.17,6.35,15.19,18,15.89,7.29,3.61,7.7,11.92,5.37,,,,,28,20,1
St. Louis,Baltimore,0,-9.09,16.23,-0.56,,2.5,2.53,1.93,-13.82,-48,-14.83,2.71,-17.7,3.59,-11.21,2.6,,,,,10,27,1
Tampa Bay,N.Y. Giants,5.5,6.25,7.68,0.1,,9.5,4.09,4.48,11.06,-12.67,11.92,4.8,13.58,5.87,13.6,4.51,,,,,17,13,1
Tennessee,Cincinnati,9,14.06,16.13,0.31,,12,9.78,10.84,10.76,59,11.97,11.52,3.56,10.59,2.92,8.36,,,,,35,36,1
Washington,Dallas,2.5,8.73,12.66,0.49,,-10,-1.69,-5.99,19.47,27,19.82,-1.3,11.88,-5.5,22.48,-0.1,,,,,41,35,1
Baltimore,Pittsburgh,-2.5,-5.09,8.82,-0.29,-29.9,1,-9.55,-4.38,-1.55,36.56,-4,1.59,-7,-4.82,13.73,-14.27,-21,,,,23,20,2
Buffalo,N.Y. Jets,4,-0.73,8.13,-0.58,3.89,-2,-0.97,0.21,5.63,-99.12,15,1.2,3,-3.42,-18,-1.96,-3,,,,3,17,2
Carolina,Jacksonville,-9.5,-14.35,8.76,-0.55,-8.37,-5,-9.45,-9.42,-20.63,-84.74,-35,-4.61,-7,-7.12,-19.65,-13.26,-16,,,,22,20,2
Chicago,Seattle,-3.5,3.46,7.53,0.93,-12.31,-5,2.34,14.92,-3.51,25,8,-1.8,13,-1.5,0.28,7.14,7,,,,14,13,2
Cincinnati,San Diego,1,-3.51,11.25,-0.4,,-1,2.69,10.92,-18.96,-49,-24,-0.72,-2,0.45,-15.76,6.56,3,,,,34,7,2
Dallas,Atlanta,6.5,7.3,11.31,0.07,5.88,-11,2.79,10.65,20.38,65.56,29,-5.4,13,-2.35,9.33,5.66,6,,,,7,24,2
Detroit,Green Bay,-6,-4.61,11.19,0.12,9.73,3,-2.47,9.01,-14.18,-32,-22,-2.61,3,-0.22,-24.21,4.68,4,,,,15,23,2
Kansas City,Denver,-3.5,0.68,7.24,0.58,0.36,-1.5,-2.71,1.22,2.34,-36.56,12,-5.02,3,0.09,-6.75,6.02,9,,,,10,26,2
Miami,Arizona,9,18.59,14.57,0.66,4.74,2,14.74,3.23,35.4,62,36,8.59,3,16.97,46.63,20.74,10,,,,16,19,2
Minnesota,Oakland,11,4.95,18.17,-0.33,7.02,8,13.18,7.81,-22.56,-69.62,-37,13.51,13,20.67,8.8,7.79,6,,,,22,17,2
N.Y. Giants,Washington,2.5,7.36,5.76,0.84,1.15,10,7.65,9.57,6.03,69.56,13,6.6,13,5.88,-8.16,10.1,7,,,,50,21,2
New England,Indianapolis,4,0.38,9.92,-0.37,2.89,2,9.36,0.68,-10.28,-26,-22,12.1,3,3.8,-4.61,4.82,-3,,,,28,31,2
Philadelphia,Tampa Bay,-6.5,-8.64,13.99,-0.15,1.08,-10,-2.78,4.28,-24.92,-33,-41,-6.72,3,-9.38,-12.22,-0.54,5,,,,19,5,2
San Francisco,New Orleans,10.5,-2.39,10.82,-1.19,0.91,11,6.46,-10.29,-0.37,15,9,11.4,-7,7.09,-22.51,0.65,-16,,,,21,28,2
Tennessee,Cleveland,16,13.11,7.36,-0.39,25.29,14,15.72,16.94,9.69,33,17,10.2,13,17.33,-6.93,15.06,20,,,,9,26,2
Arizona,San Francisco,-2,1.04,5.73,0.53,7,4,-3.89,7.49,-0.21,16,-14,-0.61,-1.33,-2.63,-9.27,1.03,11,,,,24,10,3
Baltimore,Cleveland,12,11.69,6.61,-0.05,14.7,21,11.96,14.44,26.87,77,39,9.18,0,14.82,25.71,17.9,19,,,,10,17,3
Buffalo,Philadelphia,11.5,11.56,5.67,0.01,5,10,14.04,12.6,20.84,22,30.5,14.04,0.17,17.55,14.64,15.86,7,,,,0,26,3
